zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21837,85,2525.719999999999,ZCTA5 21837,population,3165,441,26.856240126382307
21838,168,2872.4799999999996,ZCTA5 21838,population,2219,459,75.70977917981072
21840,8,342.2,ZCTA5 21840,population,541,357,14.78743068391867
21841,80,2151.8799999999997,ZCTA5 21841,population,988,309,80.97165991902834
21842,6872,94323.41000000104,ZCTA5 21842,population,10951,524,627.5226006757374
21849,320,9043.979999999998,ZCTA5 21849,population,3366,699,95.06833036244801
21850,98,1950.46,ZCTA5 21850,population,3628,518,27.01212789415656
21851,1760,13319.82000000002,ZCTA5 21851,population,7072,556,248.86877828054298
21853,189,7985.15,ZCTA5 21853,population,10659,673,17.73149451168027
21856,116,1575.8899999999996,ZCTA5 21856,population,924,347,125.54112554112554
21861,30,750.4300000000003,ZCTA5 21861,population,776,188,38.659793814432994
21862,7,266.86,ZCTA5 21862,population,0,13,Inf
21863,502,14885.14,ZCTA5 21863,population,4913,619,102.17789537960513
21864,62,422.49,ZCTA5 21864,population,778,287,79.69151670951156
21865,553,5861.259999999992,ZCTA5 21865,population,393,173,1407.1246819338423
21869,162,3811.920000000001,ZCTA5 21869,population,943,213,171.79215270413573
21871,6748,28618.619999999828,ZCTA5 21871,population,1747,313,3862.621637092158
21872,67,1340.1700000000003,ZCTA5 21872,population,573,353,116.9284467713787
21874,289,5033.470000000003,ZCTA5 21874,population,2222,493,130.06300630063006
21875,571,7865.319999999991,ZCTA5 21875,population,7446,784,76.68546870803115
21901,1807,37834.40000000001,ZCTA5 21901,population,19938,1527,90.6309559634868
21903,722,9080.169999999973,ZCTA5 21903,population,5332,361,135.40885221305328
21904,429,10706.209999999994,ZCTA5 21904,population,5975,651,71.79916317991632
21911,2860,39679.05000000002,ZCTA5 21911,population,10804,826,264.71677156608666
21912,116,4251.120000000001,ZCTA5 21912,population,1495,465,77.59197324414716
21913,40,1308.4999999999995,ZCTA5 21913,population,878,308,45.558086560364465
21914,28,1399.7300000000002,ZCTA5 21914,population,740,256,37.83783783783784
21915,262,10522.589999999998,ZCTA5 21915,population,2469,415,106.1158363710004
21917,138,3712.3899999999994,ZCTA5 21917,population,1884,557,73.2484076433121
21918,682,13136.439999999982,ZCTA5 21918,population,4462,668,152.84625728372927
21919,193,7736.6,ZCTA5 21919,population,3451,578,55.92581860330339
21920,8,227.88,ZCTA5 21920,population,1089,595,7.3461891643709825
21921,6986,117748.40000000056,ZCTA5 21921,population,45081,1659,154.96550653268562
21930,1,312.3,ZCTA5 21930,population,27,42,37.03703703703704
