zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21623,282,7916.639999999999,ZCTA5 21623,population,2187,350,128.94375857338818
21624,164,8929.2,ZCTA5 21624,population,201,123,815.9203980099502
21625,258,8292.2,ZCTA5 21625,population,2329,368,110.7771575783598
21627,4,28,ZCTA5 21627,population,27,27,148.14814814814815
21628,119,2211.88,ZCTA5 21628,population,360,183,330.55555555555554
21629,1206,24259.210000000006,ZCTA5 21629,population,9988,505,120.74489387264718
21631,94,3551.46,ZCTA5 21631,population,2787,465,33.72802296376032
21632,758,8827.550000000001,ZCTA5 21632,population,6504,482,116.54366543665436
21635,611,12718.539999999995,ZCTA5 21635,population,1836,373,332.78867102396515
21636,58,1112,ZCTA5 21636,population,824,272,70.3883495145631
21638,1114,33617.01,ZCTA5 21638,population,5064,606,219.98420221169036
21639,559,10110.96,ZCTA5 21639,population,4734,588,118.08196028728348
21640,141,3286.5,ZCTA5 21640,population,1374,338,102.62008733624454
21641,17,197,ZCTA5 21641,population,149,58,114.09395973154362
21643,740,13598.149999999998,ZCTA5 21643,population,5021,515,147.3809998008365
21645,196,5711.840000000006,ZCTA5 21645,population,1231,367,159.22014622258325
21647,635,15435.859999999995,ZCTA5 21647,population,450,187,1411.1111111111113
21648,4,240,ZCTA5 21648,population,181,89,22.099447513812155
21649,100,2484.55,ZCTA5 21649,population,2205,525,45.35147392290249
21650,222,8666,ZCTA5 21650,population,308,172,720.7792207792207
21651,297,5999.56,ZCTA5 21651,population,2346,447,126.5984654731458
21652,249,5809.5,ZCTA5 21652,population,143,85,1741.2587412587413
21653,75,1085,ZCTA5 21653,population,105,64,714.2857142857143
21654,6312,175200.69,ZCTA5 21654,population,1260,263,5009.523809523809
21655,427,15772.760000000002,ZCTA5 21655,population,4753,454,89.8379970544919
21657,61,2836.7200000000003,ZCTA5 21657,population,1437,388,42.44954766875435
21658,916,52629.99000000004,ZCTA5 21658,population,3883,420,235.90007725985063
21659,1,10,ZCTA5 21659,population,1225,346,0.8163265306122449
21660,722,14024.06,ZCTA5 21660,population,4100,346,176.09756097560975
21661,1339,25956.929999999997,ZCTA5 21661,population,2571,314,520.8090237261765
21662,821,71666.80999999998,ZCTA5 21662,population,657,188,1249.619482496195
21663,3198,165478.48000000045,ZCTA5 21663,population,3646,492,877.1256171146462
21664,37,803,ZCTA5 21664,population,642,229,57.63239875389408
21665,141,8093.42,ZCTA5 21665,population,164,86,859.7560975609756
21666,3570,104492.80000000018,ZCTA5 21666,population,14193,955,251.53244557176075
21667,445,7539.389999999999,ZCTA5 21667,population,218,97,2041.284403669725
21668,148,2688.7899999999995,ZCTA5 21668,population,1842,339,80.34744842562432
21669,146,4473.520000000004,ZCTA5 21669,population,186,64,784.9462365591397
21671,397,13720.66,ZCTA5 21671,population,805,219,493.167701863354
21672,6,92,ZCTA5 21672,population,113,86,53.097345132743364
21673,437,18756.35,ZCTA5 21673,population,2793,352,156.4625850340136
21676,78,9237.36,ZCTA5 21676,population,333,181,234.23423423423424
21677,28,1214,ZCTA5 21677,population,598,195,46.82274247491638
21678,1059,22807.97999999999,ZCTA5 21678,population,1685,317,628.486646884273
21679,213,5971.209999999999,ZCTA5 21679,population,255,124,835.2941176470589
21701,24907,631639.1800000038,ZCTA5 21701,population,40787,1700,610.6602593963762
21702,17174,430403.05999999936,ZCTA5 21702,population,46596,1984,368.57240964889695
21703,8726,203219.95000000024,ZCTA5 21703,population,39606,1671,220.32015351209412
21704,5672,213888.01000000007,ZCTA5 21704,population,18473,1181,307.0427109835977
21705,449,9141.1,ZCTA5 21705,population,5,8,89800
21710,1509,45716.58000000003,ZCTA5 21710,population,4988,719,302.5260625501203
21711,30,741,ZCTA5 21711,population,864,249,34.72222222222222
21713,1829,40567.68999999998,ZCTA5 21713,population,9999,740,182.91829182918292
21714,426,15300.23,ZCTA5 21714,population,272,174,1566.1764705882354
21715,93,4130,ZCTA5 21715,population,12,22,7750
21716,2201,47591.569999999985,ZCTA5 21716,population,6630,344,331.9758672699849
21717,97,3016.26,ZCTA5 21717,population,209,158,464.11483253588517
21718,165,4618.8,ZCTA5 21718,population,143,42,1153.8461538461538
21719,115,1636.0099999999998,ZCTA5 21719,population,1145,252,100.43668122270742
21722,248,4822.030000000004,ZCTA5 21722,population,6709,1209,36.96527053212103
21723,214,7010.54,ZCTA5 21723,population,689,207,310.5950653120465
21727,606,16539.529999999995,ZCTA5 21727,population,6588,422,91.98542805100182
21733,95,2380.62,ZCTA5 21733,population,1202,437,79.03494176372712
21734,137,2700,ZCTA5 21734,population,861,226,159.11730545876887
21737,1141,42184.98,ZCTA5 21737,population,2406,638,474.2310889443059
21738,2133,91235.83999999994,ZCTA5 21738,population,3786,551,563.391442155309
21740,9084,156266.82999999897,ZCTA5 21740,population,62760,1925,144.74187380497133
21742,9377,180980.25000000055,ZCTA5 21742,population,34549,1599,271.4116182812816
21750,1588,25647.73999999999,ZCTA5 21750,population,3613,508,439.52394132300026
21754,3459,99558.51999999968,ZCTA5 21754,population,7260,804,476.44628099173553
21755,2271,65008.77999999997,ZCTA5 21755,population,5706,642,398.0021030494217
21756,706,23079.649999999976,ZCTA5 21756,population,3303,567,213.74508023009386
21757,121,3157.34,ZCTA5 21757,population,2722,484,44.45260837619398
21758,1923,35589.54000000006,ZCTA5 21758,population,4610,740,417.1366594360087
21762,127,4213.839999999999,ZCTA5 21762,population,176,184,721.590909090909
21766,28,1177.77,ZCTA5 21766,population,544,177,51.470588235294116
21767,79,3614.53,ZCTA5 21767,population,873,322,90.49255441008017
21769,3776,108657.45999999992,ZCTA5 21769,population,12562,852,300.58907817226554
21770,1985,51007.11,ZCTA5 21770,population,7786,1211,254.94477266889288
21771,8933,209328.0900000004,ZCTA5 21771,population,31653,2013,282.21653555745115
21773,1692,26795.68000000001,ZCTA5 21773,population,5553,623,304.7001620745543
21774,5176,144050.66000000012,ZCTA5 21774,population,15096,1015,342.87228404875464
21776,1182,21786.81,ZCTA5 21776,population,6434,715,183.71153248368043
21777,720,13418.1,ZCTA5 21777,population,2360,443,305.08474576271186
21778,187,2955.6699999999983,ZCTA5 21778,population,880,260,212.5
21779,475,6884.26,ZCTA5 21779,population,1731,677,274.4078567302137
21780,227,6613.8499999999995,ZCTA5 21780,population,1975,447,114.9367088607595
21781,2,110,ZCTA5 21781,population,41,5,48.78048780487805
21782,1239,23007.480000000003,ZCTA5 21782,population,4389,715,282.2966507177033
21783,1072,22073.15,ZCTA5 21783,population,9866,949,108.65599026961281
21784,9655,257843.1300000003,ZCTA5 21784,population,37219,1401,259.41051613423247
21787,944,30285.629999999997,ZCTA5 21787,population,10879,601,86.77268131262065
21788,2817,109285.4999999998,ZCTA5 21788,population,11412,864,246.84542586750788
21790,5,349.24,ZCTA5 21790,population,0,13,Inf
21791,1283,18969.599999999995,ZCTA5 21791,population,4855,783,264.2636457260556
21793,2311,63179.49999999996,ZCTA5 21793,population,10882,788,212.36904980702076
21794,648,27815.850000000013,ZCTA5 21794,population,2309,465,280.6409701169337
21795,1602,25785.01000000001,ZCTA5 21795,population,9772,1035,163.93778141629144
21797,3224,169015.33999999994,ZCTA5 21797,population,9034,775,356.8740314367944
21798,331,18457.95,ZCTA5 21798,population,2699,585,122.63801407928862
21801,4484,130242.52999999998,ZCTA5 21801,population,30766,1652,145.74530325684196
21804,7964,177007.2200000002,ZCTA5 21804,population,38722,1490,205.6711946696968
21810,3,90,ZCTA5 21810,population,160,137,18.75
21811,9781,276675.0200000005,ZCTA5 21811,population,24456,739,399.9427543343147
21813,1012,18157.769999999997,ZCTA5 21813,population,2927,541,345.74649812094293
21814,274,5105.589999999998,ZCTA5 21814,population,81,91,3382.716049382716
21817,312,6336.919999999993,ZCTA5 21817,population,4138,534,75.39874335427743
21821,155,2020.34,ZCTA5 21821,population,765,218,202.6143790849673
21822,632,12221.479999999998,ZCTA5 21822,population,2686,755,235.2941176470588
21824,16,166,ZCTA5 21824,population,253,150,63.241106719367586
21826,717,10358.839999999998,ZCTA5 21826,population,5569,94,128.74842880229843
21829,17,435,ZCTA5 21829,population,394,222,43.14720812182741
21830,383,9341.89,ZCTA5 21830,population,4837,844,79.18131072979119
21835,19,79,ZCTA5 21835,population,382,130,49.738219895287955
21837,509,5382.609999999997,ZCTA5 21837,population,3165,441,160.82148499210112
21838,55,1579,ZCTA5 21838,population,2219,459,24.785939612438035
21840,59,936.9400000000002,ZCTA5 21840,population,541,357,109.0573012939002
21841,349,6055.21,ZCTA5 21841,population,988,309,353.2388663967611
21842,2437,52256.51999999999,ZCTA5 21842,population,10951,524,222.53675463427996
21849,541,11445.820000000002,ZCTA5 21849,population,3366,699,160.72489601901367
21850,110,1634.26,ZCTA5 21850,population,3628,518,30.319735391400222
21851,810,13798.000000000004,ZCTA5 21851,population,7072,556,114.53619909502262
21853,555,8938.869999999994,ZCTA5 21853,population,10659,673,52.06867435969603
